Date,StepCount,Distance_m_,AverageSpeed_m_s_,MaxSpeed_m_s_,MinSpeed_m_s_,MoveMinutesCount,CyclingDuration_ms_,InactiveDuration_ms_,WalkingDuration_ms_,RunningDuration_ms_,RoadBikingDuration_ms_,Month
01-Jan-2020,2322,1192.669917,0.705905757,1.399695754,0.248768881,15,NaN,85812807,418027,NaN,NaN,January
02-Jan-2020,524,387.2231584,0.659743866,4.2107687,0.269353658,7,NaN,86252773,147227,NaN,NaN,January
03-Jan-2020,3911,2455.998612,0.811261335,16.28522873,0.154431164,34,NaN,81731242,1964218,NaN,NaN,January
04-Jan-2020,6907,4464.422301,0.782103832,2.090330124,0.21116972,64,NaN,83157865,3242135,NaN,NaN,January
05-Jan-2020,1057,471.4977738,0.730253057,1.787300467,0.289917052,7,NaN,86336532,63468,NaN,NaN,January
06-Jan-2020,1820,974.8784868,0.638154339,2.733474493,0.250157505,19,NaN,85778076,621924,NaN,NaN,January
07-Jan-2020,7887,6254.961593,2.349075148,45.10032654,0.074307643,83,NaN,78669213,4085778,NaN,NaN,January
08-Jan-2020,8477,5625.386282,0.72791721,11.75,0.252598494,91,NaN,77593872,4148762,NaN,NaN,January
09-Jan-2020,10019,8269.572616,0.947111176,24.7425518,0.03197027,120,739408,78233921,4736743,NaN,NaN,January
10-Jan-2020,13529,8510.443887,0.738460886,7.699222565,0.018244805,150,NaN,76761823,7382156,61000,NaN,January
11-Jan-2020,4259,2552.825431,0.493402879,4.720787525,0.241692841,52,NaN,80016892,2154639,NaN,NaN,January
12-Jan-2020,10509,6994.467218,1.828992344,26.59182549,0.250157505,119,NaN,71047279,6122473,NaN,NaN,January
13-Jan-2020,6341,4048.020041,0.895343577,11.18071556,0.071869858,66,NaN,79568766,3175950,NaN,NaN,January
14-Jan-2020,9251,8372.695994,0.981830066,5.494412422,0.043096833,110,397774,76281438,4801513,63486,NaN,January
15-Jan-2020,7113,4589.966764,0.921451277,33.40956116,0.148917854,72,NaN,78093530,4032684,NaN,NaN,January
16-Jan-2020,2284,1286.665529,1.928246042,29.34000778,0.266521096,31,NaN,81238893,602959,NaN,NaN,January
17-Jan-2020,9894,6401.757656,0.923780658,29.62548065,0.200160846,107,NaN,79142431,4981684,NaN,NaN,January
18-Jan-2020,3885,2504.455662,0.633422543,2.029999971,0.250157505,47,NaN,84988098,1290646,121256,NaN,January
19-Jan-2020,6371,4151.515706,0.823615252,19.86000061,0.250157505,78,NaN,78890594,3981155,NaN,NaN,January
20-Jan-2020,4614,3156.764034,7.463456863,57.65256119,0.250157505,53,NaN,70700250,2105135,NaN,NaN,January
21-Jan-2020,5101,3706.824448,4.200031844,31.79757881,0.250157505,55,NaN,70543966,2922106,NaN,NaN,January
22-Jan-2020,8994,6665.701026,1.910809614,44.44141769,0.256106377,96,NaN,71478466,4457516,NaN,NaN,January
23-Jan-2020,6003,4219.009553,2.31772262,42.67126465,0.261528283,58,NaN,79430474,3022342,NaN,NaN,January
24-Jan-2020,8685,5227.404653,4.30209313,55.66999817,0.077079587,100,NaN,73089918,3973392,NaN,NaN,January
25-Jan-2020,7810,4984.512815,0.783510828,10.1017189,0.261528283,86,NaN,82644710,3755290,NaN,NaN,January
26-Jan-2020,7288,4254.58959,3.846076603,43.56000137,0.038872473,80,NaN,73808650,3573788,NaN,NaN,January
27-Jan-2020,9635,10412.91657,1.656409956,46.33468628,0.055557009,117,1134384,76687211,4805150,NaN,NaN,January
28-Jan-2020,9211,7803.158439,1.060425877,25.0553627,0.250157505,120,667186,77684549,4485915,NaN,NaN,January
29-Jan-2020,9039,7859.374386,1.348143926,19.05883789,0.20707947,101,376982,73229195,4901140,NaN,NaN,January
30-Jan-2020,8351,6124.495511,1.462810671,33.85420227,0.187331349,95,NaN,77683340,4176919,NaN,NaN,January
31-Jan-2020,8465,5763.114515,0.941525316,13.13000011,0.247067675,90,NaN,77508546,4149849,NaN,NaN,January
01-Feb-2020,4708,2816.934556,0.644050849,1.574296594,0.25731805,49,NaN,81650469,2657885,NaN,NaN,February
02-Feb-2020,4216,2563.796247,0.736992954,18.04167747,0.246459201,43,NaN,82919510,1963575,NaN,NaN,February
03-Feb-2020,8120,5052.129152,1.7829103,45.1278038,0.038344901,88,NaN,77255384,3676641,NaN,NaN,February
04-Feb-2020,11025,8384.02598,11.41011039,54.27000046,0.083601698,132,NaN,54371070,5691327,NaN,NaN,February
05-Feb-2020,7184,4646.973884,0.807508655,3.249970913,0.172073856,75,NaN,80711268,4176596,NaN,NaN,February
06-Feb-2020,8248,5391.316314,1.853055098,44.04000092,0.027879925,89,NaN,77530230,4155316,NaN,NaN,February
07-Feb-2020,11616,7680.689504,0.901135655,24.76623535,0.074715473,116,NaN,76246977,5824963,NaN,NaN,February
08-Feb-2020,911,424.1839002,0.695641955,1.44193089,0.2686342,4,NaN,86245211,67,NaN,NaN,February
09-Feb-2020,1196,588.3755089,1.251431113,21.53274536,0.248808831,6,NaN,82088536,272576,NaN,NaN,February
10-Feb-2020,7980,7321.431032,0.798149048,5.466375828,0.060618192,95,545133,77185206,4314569,NaN,NaN,February
11-Feb-2020,7323,5236.930157,1.312296961,34.28190994,0.261528283,69,NaN,80597496,3447728,NaN,NaN,February
12-Feb-2020,9251,5758.666801,0.877112346,5.525820255,0.247129098,99,NaN,77912559,4460245,NaN,NaN,February
13-Feb-2020,8193,5415.239237,1.26186303,22.72581291,0.249845326,84,NaN,78899211,3838570,NaN,NaN,February
14-Feb-2020,10099,6721.316477,0.731460623,3.170000076,0.203895718,112,NaN,77657493,5418399,NaN,NaN,February
15-Feb-2020,5753,3618.109941,0.466558411,2.91666317,0.035870221,57,NaN,83148979,2823036,NaN,NaN,February
16-Feb-2020,4376,2590.02091,1.249373426,18.96074867,0.246734872,51,NaN,80565395,1961861,NaN,NaN,February
17-Feb-2020,8926,5640.56482,0.804845335,2.778161526,0.041677479,93,NaN,77758820,4905167,NaN,NaN,February
18-Feb-2020,11672,8273.28867,1.19120296,34.70508194,0.139316037,126,314587,74735249,5180016,NaN,NaN,February
19-Feb-2020,3981,2037.996544,0.944182862,38.38167953,0.245714113,36,NaN,79196882,1445545,NaN,NaN,February
20-Feb-2020,6567,4715.281597,0.737311009,2.410000086,0.243989438,64,NaN,79501903,3566541,NaN,NaN,February
21-Feb-2020,9367,6226.049485,1.090177353,17.15999985,0.251347154,91,NaN,77232992,5316934,NaN,NaN,February
22-Feb-2020,9942,6322.286452,0.797697466,3.109665871,0.245186359,98,NaN,80686300,5592685,NaN,NaN,February
23-Feb-2020,5018,2963.639176,0.682767726,3.840629101,0.250862569,45,NaN,83856599,2543401,NaN,NaN,February
24-Feb-2020,3927,2019.999494,0.544096256,3.086068153,0.245082632,33,NaN,84853943,1546057,NaN,NaN,February
25-Feb-2020,10110,8847.062355,0.782558697,4.490610123,0,102,619051,80093176,5101925,NaN,NaN,February
26-Feb-2020,7920,5214.079422,1.393898364,32.08000183,0.256001592,83,NaN,78626712,3691402,65022,NaN,February
27-Feb-2020,10932,8605.600567,0.816203793,5.047934055,0.250157505,119,512867,77372635,5603851,NaN,NaN,February
28-Feb-2020,9203,6977.582054,1.98689714,26.5255394,0.261528283,94,NaN,78246283,4738087,NaN,NaN,February
29-Feb-2020,5355,3229.768596,0.510152515,1.859499693,0.249620989,48,NaN,82377955,2553739,NaN,NaN,February
01-Mar-2020,1992,932.4221562,0.651102694,17.27478218,0.250157505,12,NaN,84860448,883537,NaN,NaN,March
02-Mar-2020,1476,818.4056194,0.581505123,2.180000067,0.244423181,13,NaN,86010079,389921,NaN,NaN,March
03-Mar-2020,6904,4578.665386,1.433106611,25.68000031,0.16855675,74,NaN,80040607,3654464,NaN,NaN,March
04-Mar-2020,2285,1202.128973,0.547524755,2.003086329,0.245734006,17,NaN,83801187,1689888,NaN,NaN,March
05-Mar-2020,4092,2600.165021,2.425398347,34.25053024,0.083647005,46,NaN,74373721,2126991,NaN,NaN,March
06-Mar-2020,9531,5945.462032,1.045752733,33.27999878,0.096695378,95,NaN,78500120,4721690,NaN,NaN,March
07-Mar-2020,8355,5241.552949,1.174011156,24.30999947,0.258684158,84,NaN,77772563,4311366,NaN,NaN,March
08-Mar-2020,4408,2811.472119,0.781659004,4.537605762,0.261094868,50,NaN,85073144,1326856,NaN,NaN,March
09-Mar-2020,9139,6810.839874,1.413987985,33.06999969,0.131175026,97,NaN,79425682,3996269,NaN,NaN,March
10-Mar-2020,7623,5048.564845,1.509040397,25.19000053,0.222446725,80,NaN,78855768,3523912,NaN,NaN,March
11-Mar-2020,10683,8581.228242,0.820084946,23.39330864,0.159011751,111,714940,74791215,5518194,NaN,NaN,March
