Date,StepCount,Distance_m_,AverageSpeed_m_s_,MaxSpeed_m_s_,MinSpeed_m_s_,MoveMinutesCount,CyclingDuration_ms_,InactiveDuration_ms_,WalkingDuration_ms_,RunningDuration_ms_,RoadBikingDuration_ms_,Month
01-Jan-2020,2822,409.7374665,NaN,NaN,NaN,NaN,NaN,82894659,1949997,NaN,NaN,January
02-Jan-2020,7220,2836.399162,1.565700554,17.99690437,0.501076818,NaN,NaN,78435949,5900252,NaN,NaN,January
03-Jan-2020,7394,4659.192512,1.087589315,2.189641476,0.516894221,NaN,NaN,78632347,4003131,249426,NaN,January
04-Jan-2020,6215,3218.679628,0.830440861,2.353426218,0.506660998,NaN,NaN,80254846,5302952,NaN,NaN,January
05-Jan-2020,10547,6830.064605,2.386694516,13.73264694,0.502941549,NaN,NaN,78184898,7628033,NaN,NaN,January
06-Jan-2020,15113,9778.617621,1.902123877,14.6948967,0.509080529,NaN,NaN,72411959,10007539,NaN,NaN,January
07-Jan-2020,6370,3284.484101,1.55881345,2.600010872,0.503349125,NaN,826790,79958523,4349562,NaN,NaN,January
08-Jan-2020,15723,10181.36361,2.072197007,27.17396164,0.503073215,NaN,NaN,73044992,9302432,261093,NaN,January
09-Jan-2020,9749,5939.153736,2.180462477,26.30555153,0.527050018,NaN,NaN,76783148,6332335,NaN,NaN,January
10-Jan-2020,3541,1785.954716,1.226510728,8.263347626,0.500378668,NaN,NaN,82665672,2608968,NaN,NaN,January
11-Jan-2020,10194,6788.390507,1.183622607,2.13288784,0.501570523,NaN,NaN,74055469,6692796,NaN,NaN,January
12-Jan-2020,7100,3857.261807,7.044259692,33.30656052,0.501341641,NaN,NaN,67814463,6789313,NaN,NaN,January
13-Jan-2020,6705,3316.218013,1.806511884,3.155683756,0.662993848,NaN,NaN,81097082,5302918,NaN,NaN,January
14-Jan-2020,7545,3186.312532,0.849596068,3.076606989,0.521406829,NaN,NaN,78091609,5117199,NaN,NaN,January
15-Jan-2020,7837,4491.581986,3.141247955,34.81022644,0.505524158,NaN,NaN,73603625,5728177,NaN,NaN,January
16-Jan-2020,7864,5353.165857,12.92071296,48.09656525,0.534495831,NaN,NaN,75489824,5482848,NaN,NaN,January
17-Jan-2020,1672,700.657455,2.23136018,2.670395851,0.925247729,NaN,NaN,81773847,1150394,NaN,NaN,January
18-Jan-2020,9116,10422.34128,3.030756602,25.99303246,0.527944207,NaN,2781588,74042778,6281908,NaN,NaN,January
19-Jan-2020,6172,4879.171504,6.999519541,27.88136292,0.506875634,NaN,730707,77931495,4261805,NaN,NaN,January
20-Jan-2020,11435,6904.66981,0.948760129,1.579951167,0.511485934,NaN,1826027,74201874,8971906,NaN,NaN,January
21-Jan-2020,2819,280.8394418,4.092125099,19.96036339,0.57241863,NaN,NaN,82000887,1739754,NaN,NaN,January
22-Jan-2020,11187,6432.271733,1.706192818,22.87457085,0.63196063,NaN,NaN,75639783,7007059,NaN,NaN,January
23-Jan-2020,8682,5372.0158,3.505033496,26.42862129,0.540533423,NaN,NaN,75762641,7018265,NaN,NaN,January
24-Jan-2020,4181,1560.251617,NaN,NaN,NaN,NaN,NaN,83902655,2497345,NaN,NaN,January
25-Jan-2020,7719,4798.635645,2.351913104,15.8155365,0.505253911,NaN,626898,75596809,5792017,NaN,NaN,January
26-Jan-2020,9143,5830.2239,1.133180815,1.481119275,0.785252213,NaN,655902,74367595,6821974,109762,NaN,January
27-Jan-2020,2189,590.9344768,1.044262717,13.51409149,0.544203222,NaN,NaN,83419396,1671881,NaN,NaN,January
28-Jan-2020,2040,570.4331093,0.649291776,2.943810225,0.507696629,NaN,NaN,82346332,1225892,NaN,NaN,January
29-Jan-2020,8902,5357.34334,16.29555924,34.35406876,0.505918026,NaN,NaN,77042285,6078934,146426,NaN,January
30-Jan-2020,8829,5395.094611,3.589563648,15.54624176,0.505749047,NaN,NaN,69975428,7517335,237773,NaN,January
