Date,StepCount,Distance_m_,AverageSpeed_m_s_,MaxSpeed_m_s_,MinSpeed_m_s_,MoveMinutesCount,CyclingDuration_ms_,InactiveDuration_ms_,WalkingDuration_ms_,RunningDuration_ms_,RoadBikingDuration_ms_,Month
01-Jan-2020,8125,4406.88804,1.017332129,1.776332498,0.272899091,83,NaN,81271957,5128043,NaN,NaN,January
02-Jan-2020,2831,1275.252253,4.408129988,29.26041603,0.173943534,33,NaN,76903085,1766093,NaN,NaN,January
03-Jan-2020,5999,3199.945059,0.918374856,1.459752798,0.225451007,63,NaN,82247481,3884495,NaN,NaN,January
04-Jan-2020,3629,1942.071213,2.872989643,33.60209656,0.272899091,41,NaN,75113596,3814191,NaN,NaN,January
05-Jan-2020,1590,251.606032,1.279937366,13.25118256,0.416857868,15,NaN,81579010,1350229,NaN,NaN,January
06-Jan-2020,4717,2022.969664,0.79598359,1.586386561,0.488216758,39,NaN,80557445,3961026,NaN,NaN,January
07-Jan-2020,8129,5053.382739,2.094623549,29.49085999,0.308581114,81,NaN,76324306,5430266,366144,NaN,January
08-Jan-2020,710,62.56870079,0.971729766,2.174154282,0.548333168,7,NaN,86213146,186854,NaN,NaN,January
09-Jan-2020,9817,6259.698685,1.6689081,26.80039597,0.135194436,98,NaN,76023092,6366169,NaN,NaN,January
10-Jan-2020,11288,5674.0012,2.122560889,30.93634415,0.24680382,116,NaN,76168123,6983190,NaN,NaN,January
11-Jan-2020,7316,3890.771799,3.019267067,33.90861893,0.050509386,82,NaN,68657991,6360709,NaN,NaN,January
12-Jan-2020,4369,1683.802311,0.68617521,5.108045578,0.275697857,40,NaN,81088295,3369923,NaN,NaN,January
13-Jan-2020,8784,5626.218348,2.132677948,32.24892426,0.194329292,93,NaN,64543945,7650867,61006,NaN,January
14-Jan-2020,12190,7815.151597,2.000647962,27.5114975,0.166232616,122,NaN,75031793,7338307,NaN,NaN,January
15-Jan-2020,7541,4602.791778,1.946743822,31.08230209,0.07953719,72,NaN,77283296,5321290,NaN,NaN,January
16-Jan-2020,13337,8798.089267,1.013484719,1.788818121,0.245113075,133,NaN,73867862,9052538,NaN,NaN,January
17-Jan-2020,5270,2307.519214,1.296110078,24.13407707,0.259699732,57,NaN,78540760,3698312,384682,NaN,January
18-Jan-2020,5986,3629.668613,1.146286966,1.634020686,0,65,NaN,75673595,6132856,NaN,NaN,January
19-Jan-2020,1873,557.6078233,1.106418413,2.169756889,0.284269899,17,NaN,85378580,963720,NaN,NaN,January
20-Jan-2020,1521,177.7047596,0.798090618,1.343129277,0.296096981,14,NaN,84765582,1094821,NaN,NaN,January
21-Jan-2020,12683,7539.490975,1.029578288,7.39693594,0.050140359,126,NaN,72890795,8855086,95045,NaN,January
22-Jan-2020,11141,6751.169602,1.509725819,24.70929718,0.158732086,113,NaN,71759009,9165970,NaN,NaN,January
23-Jan-2020,9898,4933.323678,1.570803022,25.34975815,0.040307228,106,NaN,75667848,7085009,121433,NaN,January
24-Jan-2020,10618,5328.508716,2.502260025,24.19324684,0.254544854,111,NaN,75882217,7850961,NaN,NaN,January
25-Jan-2020,10627,6651.151444,2.418989962,41.44162369,0.287742198,108,NaN,74272768,6880528,365898,NaN,January
26-Jan-2020,5268,2517.637093,1.209650944,8.912706375,0.33650744,53,NaN,83095146,2898454,NaN,NaN,January
27-Jan-2020,7326,4043.924655,0.7983407,1.850136518,0.076721564,70,NaN,80547871,5691879,NaN,NaN,January
28-Jan-2020,10796,6649.845077,1.113936975,2.836766481,0.254126519,108,NaN,73617563,7917822,NaN,NaN,January
29-Jan-2020,8077,4686.623683,2.563812217,24.23895264,0.250157505,80,NaN,78245827,4447756,NaN,NaN,January
30-Jan-2020,10929,5486.710812,0.845279285,1.664881706,0,126,NaN,74109076,8413523,143085,NaN,January
31-Jan-2020,2746,521.0282872,0.64652336,1.928783059,0.260937691,27,NaN,82786873,2279378,432709,NaN,January
01-Feb-2020,4738,2693.918342,0.858664518,2.319366932,0.037853274,53,NaN,68431738,3765017,229234,NaN,February
02-Feb-2020,8290,4780.436852,0.979740369,12.03105545,0.28043884,83,NaN,67448267,6287904,NaN,NaN,February
03-Feb-2020,2487,606.7397892,1.130601386,13.79775238,0.243319258,21,NaN,78158181,1203062,NaN,NaN,February
04-Feb-2020,13573,8247.171466,0.997902154,2.024162292,0.281768233,129,NaN,73972009,8608348,NaN,NaN,February
05-Feb-2020,14349,9425.012732,2.071958999,43.29839325,0.055223063,131,NaN,74017644,8371635,NaN,NaN,February
06-Feb-2020,13841,8413.424057,1.045593708,3.044187784,0.261528283,153,NaN,72477179,9082872,NaN,NaN,February
07-Feb-2020,12569,6285.958307,0.944005819,2.014322519,0.297548145,137,NaN,72179799,10187845,NaN,NaN,February
08-Feb-2020,7475,4875.514725,1.416773864,24.25094223,0.215279996,77,NaN,76014686,6804853,NaN,NaN,February
09-Feb-2020,7002,3715.711437,0.7200556,1.855457425,0.242214069,75,NaN,78354755,4989604,NaN,NaN,February
10-Feb-2020,2121,767.364866,1.409075997,2.053905964,0.137036368,16,NaN,83235943,1535447,NaN,NaN,February
11-Feb-2020,11974,7219.895516,2.198430896,33.79494858,0.336248279,126,NaN,73473086,7705603,91732,NaN,February
12-Feb-2020,11023,6543.006332,1.023683294,1.681342483,0.105197951,118,NaN,74549811,7283819,NaN,NaN,February
13-Feb-2020,13780,7995.948486,0.917417146,1.654511809,0.05009798,131,NaN,74482440,7895186,NaN,NaN,February
14-Feb-2020,10695,6117.667746,1.051708571,2.018908262,0.224283054,111,NaN,73779707,7940780,644276,NaN,February
15-Feb-2020,8112,4789.449147,0.923781005,2.1958673,0.100806013,83,NaN,74404748,7132273,NaN,NaN,February
16-Feb-2020,29345,20521.71367,5.422135661,37.94925308,0.084431186,287,NaN,55456103,16895979,NaN,NaN,February
17-Feb-2020,442,22.51417542,18.23196037,33.66288757,0.485355258,1,NaN,75030216,80880,NaN,NaN,February
18-Feb-2020,13130,8243.322449,1.781684893,24.64000893,0.276325554,135,NaN,71327736,9046517,195320,NaN,February
19-Feb-2020,8131,4668.165173,2.018459958,31.08917046,0.13614285,95,NaN,69361291,7430018,247786,NaN,February
20-Feb-2020,6849,4027.130737,3.123403923,36.72612,0.201412007,70,NaN,74300664,6309908,174385,NaN,February
21-Feb-2020,916,163.2434689,1.638006393,15.08016777,0.261424512,10,NaN,81711316,1106073,NaN,NaN,February
22-Feb-2020,8043,5120.817582,1.328754212,8.545121193,0.076428652,86,NaN,75448141,7510068,237027,NaN,February
23-Feb-2020,4651,2346.970148,0.927958371,6.167340279,0.031241126,45,NaN,81622786,4240692,NaN,NaN,February
24-Feb-2020,5256,2157.047619,3.731408907,34.65850449,0.254829824,67,NaN,70290074,9164633,NaN,NaN,February
25-Feb-2020,9450,3982.059862,2.864256396,32.93999863,0.250157505,116,NaN,71629006,7850031,270527,NaN,February
26-Feb-2020,12303,7232.323397,0.892366517,13.10630131,0.042670157,134,NaN,70327863,9176161,114988,NaN,February
27-Feb-2020,9955,5189.895852,1.164436872,8.939230919,0.215718314,113,NaN,77254244,7011346,NaN,NaN,February
28-Feb-2020,5798,2116.254946,2.724559097,33.47264481,0.218342781,68,NaN,69205274,4678688,NaN,NaN,February
01-Mar-2020,7557,3435.264227,3.28870434,35.19665909,0.250157505,89,NaN,73236695,5898039,NaN,NaN,March
02-Mar-2020,7673,4158.741984,8.80468779,38.45310974,0.044523697,85,NaN,59966003,5634388,NaN,NaN,March
03-Mar-2020,6659,3868.62639,6.865159946,37.1417923,0.098462239,66,NaN,62852468,5958320,NaN,NaN,March
04-Mar-2020,12472,8213.252558,1.089336995,5.954042912,0.167617112,115,NaN,73136642,9146882,NaN,NaN,March
05-Mar-2020,7822,3998.412099,3.30454658,35.05712509,0.02534255,85,NaN,72178588,5898054,NaN,NaN,March
06-Mar-2020,9996,6250.348639,0.872476043,1.834902883,0.2561602,102,NaN,74488821,8467580,NaN,NaN,March
07-Mar-2020,12948,8225.200994,0.912341399,1.591933727,0.121168554,126,NaN,72503716,8297327,NaN,NaN,March
08-Mar-2020,7322,4914.966661,0.972927979,1.96884203,0.261899322,77,NaN,76629831,5430628,343136,NaN,March
09-Mar-2020,1481,58.67330742,0.501251229,0.755534649,0.446619004,11,NaN,85977126,422874,NaN,NaN,March
10-Mar-2020,3750,1563.683087,0.725973396,1.638022542,0.280299008,42,NaN,78009456,4367524,NaN,NaN,March
11-Mar-2020,7328,4448.330636,1.04039403,4.735691547,0.243945047,78,NaN,76214633,6055729,NaN,NaN,March
12-Mar-2020,6810,4085.776547,3.13504314,34.57120514,0.329753071,69,NaN,73482751,5397750,NaN,NaN,March
13-Mar-2020,10302,6800.220994,1.090571076,3.060536385,0.341123879,106,NaN,54989033,7436204,117786,NaN,March
14-Mar-2020,527,NaN,NaN,NaN,NaN,NaN,NaN,86400000,NaN,NaN,NaN,March
15-Mar-2020,614,46.39284801,0.342553381,0.415156603,0.286077291,4,NaN,86239604,160396,NaN,NaN,March
16-Mar-2020,4614,2417.201961,0.870188781,13.6787014,0.159527808,53,NaN,80229036,4437493,NaN,NaN,March
17-Mar-2020,4297,1496.458732,0.539580799,1.328791976,0.098239698,46,NaN,82483303,3732947,NaN,NaN,March
18-Mar-2020,7975,4673.178076,14.86047514,53.24150085,0.272899091,93,NaN,57464692,7228963,NaN,NaN,March
19-Mar-2020,8156,3977.346604,0.891802858,7.324978352,0.081833668,94,NaN,80089990,5716743,NaN,NaN,March
20-Mar-2020,5886,2961.474355,0.841258886,1.916452289,0.008549356,70,NaN,57895881,5379460,NaN,NaN,March
21-Mar-2020,9414,5091.426772,0.901769007,2.110082388,0.2172952,94,NaN,75400436,7492155,NaN,NaN,March
22-Mar-2020,10068,5982.700343,0.919861098,1.669543505,0.179473504,112,NaN,74250391,8216738,NaN,NaN,March
23-Mar-2020,1392,240.5543776,2.101624117,32.45342255,0.255643338,15,NaN,77067618,1379794,NaN,NaN,March
