Date,StepCount,Distance_m_,AverageSpeed_m_s_,MaxSpeed_m_s_,MinSpeed_m_s_,MoveMinutesCount,CyclingDuration_ms_,InactiveDuration_ms_,WalkingDuration_ms_,RunningDuration_ms_,RoadBikingDuration_ms_,Month
07-Jan-2020,312,NaN,1.712524808,4.295290947,0.528806031,NaN,NaN,16458357,NaN,NaN,NaN,January
08-Jan-2020,9417,4904.935661,18.44329279,48.47880554,0.660132766,NaN,NaN,70910114,3743066,NaN,NaN,January
09-Jan-2020,388,NaN,0.825982268,0.849430084,0.720855594,NaN,NaN,86400000,NaN,NaN,NaN,January
10-Jan-2020,5870,1994.890314,1.099545646,1.821161985,0.50861001,NaN,NaN,81629931,2007015,NaN,NaN,January
11-Jan-2020,10656,5973.966071,1.916317182,3.106588125,0.731676638,NaN,NaN,77034130,5133036,NaN,NaN,January
12-Jan-2020,8702,4957.259563,1.76938968,29.69923592,0.504966557,NaN,NaN,75754784,3667150,544791,NaN,January
13-Jan-2020,11915,7444.164222,1.341783957,2.770733118,0.510133982,NaN,NaN,72554914,6057784,NaN,NaN,January
14-Jan-2020,9823,5890.040495,1.990864758,3.665989399,0.527968884,NaN,NaN,71026066,4786870,392877,NaN,January
15-Jan-2020,8464,5464.831365,2.10519729,6.070877075,0.531467319,NaN,NaN,71157492,4310074,540943,NaN,January
16-Jan-2020,7852,4489.431007,1.273773828,5.942660809,0.500115037,NaN,NaN,70197681,5423345,NaN,NaN,January
17-Jan-2020,4810,2738.622874,0.898362156,3.307022095,0.50826472,NaN,NaN,77491996,2418023,NaN,NaN,January
18-Jan-2020,9508,5785.45757,2.706609246,4.603546143,0.585072458,NaN,NaN,71064886,4890189,336378,NaN,January
19-Jan-2020,11813,7051.547387,3.861614249,23.10887527,0.504197419,NaN,NaN,73489014,6662774,NaN,NaN,January
20-Jan-2020,9287,5943.030131,1.582356631,3.302721977,0.5105232,NaN,NaN,74975666,5034514,NaN,NaN,January
21-Jan-2020,10842,6926.648499,1.779575422,2.546657562,0.56305939,NaN,NaN,74423107,5171403,650510,NaN,January
22-Jan-2020,11819,7563.077639,1.594454358,3.338510513,0.749308348,NaN,NaN,75612427,6010280,409267,NaN,January
23-Jan-2020,3491,490.7067275,0.947812918,1.6259799,0.680397213,NaN,NaN,83193956,778455,NaN,NaN,January
24-Jan-2020,790,42.35549498,NaN,NaN,NaN,NaN,NaN,86068052,141741,NaN,NaN,January
25-Jan-2020,605,16.16016054,4.963093758,4.963093758,4.963093758,NaN,NaN,85879625,170844,NaN,NaN,January
26-Jan-2020,4866,2466.613086,1.388441802,1.620952845,0.86998117,NaN,NaN,80489273,2521976,NaN,NaN,January
27-Jan-2020,8679,4653.262129,11.19905131,25.14002228,0.51762718,NaN,NaN,75374814,4641203,NaN,NaN,January
28-Jan-2020,9333,5283.339927,1.199249875,4.161156178,0.50574863,NaN,NaN,73159059,5164627,NaN,NaN,January
29-Jan-2020,10791,7355.550369,1.51812577,1.985537648,1.049652219,NaN,NaN,64039124,6113287,242726,NaN,January
30-Jan-2020,8496,4792.331516,1.453697207,15.70246506,0.583969057,NaN,NaN,71968247,4793230,NaN,NaN,January
31-Jan-2020,6450,3555.521854,0.942185575,16.72732544,0.500593901,NaN,NaN,75772143,3856004,NaN,NaN,January
01-Feb-2020,11526,7084.898054,1.311551655,2.662807465,0.70937103,NaN,NaN,75547080,5722698,187890,NaN,February
02-Feb-2020,14258,9439.686441,4.118605434,25.77329636,0.510523796,NaN,NaN,66707791,7479059,NaN,NaN,February
03-Feb-2020,9048,5172.240123,2.248748032,3.205171585,0.89934963,NaN,NaN,76776148,4050318,616494,NaN,February
04-Feb-2020,12544,7805.207298,1.724764098,3.32727313,0.523999691,NaN,NaN,67933382,6972467,NaN,NaN,February
05-Feb-2020,11099,7269.485089,1.818994393,4.334902287,0.520744145,NaN,NaN,72013946,5796933,480558,NaN,February
06-Feb-2020,5850,2524.757761,1.172906294,2.632636309,0.555174828,NaN,NaN,73883896,2812898,NaN,NaN,February
07-Feb-2020,11181,6111.282427,3.932307111,23.25678444,0.527711093,NaN,NaN,65100757,5947785,NaN,NaN,February
08-Feb-2020,11838,7188.366134,1.23522313,14.15239239,0.546342134,NaN,NaN,64790049,5965269,254573,NaN,February
09-Feb-2020,10352,6275.574373,7.521228398,16.4120388,0.610032558,NaN,NaN,75378434,5210307,NaN,NaN,February
10-Feb-2020,5040,2415.568739,6.888942962,33.29333878,0.501597524,NaN,NaN,73594600,2714378,NaN,NaN,February
11-Feb-2020,10167,6572.289153,6.37538561,27.7417984,0.725614548,NaN,NaN,73957060,5910632,NaN,NaN,February
12-Feb-2020,11213,6523.39298,1.582893871,3.358526707,0.712830484,NaN,NaN,70901952,6420325,NaN,NaN,February
13-Feb-2020,3292,1033.99799,2.867441148,25.25970459,0.534403741,NaN,NaN,75002027,948017,NaN,NaN,February
