Date,StepCount,Distance_m_,AverageSpeed_m_s_,MaxSpeed_m_s_,MinSpeed_m_s_,MoveMinutesCount,CyclingDuration_ms_,InactiveDuration_ms_,WalkingDuration_ms_,RunningDuration_ms_,RoadBikingDuration_ms_,Month
01-Jan-2020,848,51.85083103,NaN,NaN,NaN,NaN,NaN,86157946,242054,NaN,NaN,January
02-Jan-2020,5439,3031.799222,7.429009369,22.47777176,0.614286065,NaN,NaN,71718167,4075370,NaN,NaN,January
03-Jan-2020,8485,4888.789042,2.377614986,5.921908855,0.543135643,NaN,NaN,74902451,4883673,373407,NaN,January
04-Jan-2020,8715,5213.616966,1.233491013,2.17000556,0.52694881,NaN,NaN,71559855,4889722,NaN,NaN,January
05-Jan-2020,10940,7417.263317,5.679843266,28.33212852,0.545134425,NaN,NaN,72245362,6402136,NaN,NaN,January
06-Jan-2020,11907,7217.035842,1.785886412,3.360259295,0.504607141,NaN,NaN,75074680,6494243,NaN,NaN,January
07-Jan-2020,4895,2345.147892,0.720821693,1.023103237,0.61113286,NaN,NaN,82925989,2372717,NaN,NaN,January
08-Jan-2020,4901,1984.897148,3.717030447,19.33541107,0.743003666,NaN,NaN,72087355,2327644,NaN,NaN,January
09-Jan-2020,10932,6580.584564,1.068440919,2.4319911,0.645743847,NaN,NaN,73288587,6071217,NaN,NaN,January
10-Jan-2020,2397,1175.137294,0.608116328,0.627144158,0.545363069,NaN,NaN,81245658,1477635,NaN,NaN,January
11-Jan-2020,7072,4331.847066,1.335013303,2.303427696,0.557558835,NaN,NaN,80490989,3518811,596213,NaN,January
12-Jan-2020,9252,5003.215304,3.709131346,7.91494894,0.828427672,NaN,NaN,72030230,6146250,NaN,NaN,January
13-Jan-2020,8201,5128.955871,0.991379028,2.002929449,0.503106058,NaN,NaN,77050073,5103913,131483,NaN,January
14-Jan-2020,9469,5320.746809,1.175137746,7.532142639,0.700728536,NaN,NaN,73915318,7243454,NaN,NaN,January
15-Jan-2020,650,31.3833971,0.875400795,2.318699837,0.503930211,NaN,NaN,84223807,316218,NaN,NaN,January
16-Jan-2020,11716,7224.183196,1.415512326,3.289551735,0.596841872,NaN,NaN,72273097,6485898,NaN,NaN,January
17-Jan-2020,12755,7828.439702,1.575305299,3.015883923,0.53203088,NaN,NaN,71651880,6848350,NaN,NaN,January
18-Jan-2020,8572,4961.764535,2.2164855,2.2164855,2.2164855,NaN,NaN,74505457,4156742,NaN,NaN,January
19-Jan-2020,10328,6015.937939,0.843891066,1.292741179,0.501871109,NaN,NaN,75413417,5494231,74646,NaN,January
20-Jan-2020,5565,1926.917878,4.927904041,21.34128571,0.626603067,NaN,NaN,73202131,2104915,NaN,NaN,January
21-Jan-2020,21383,14907.77,7.812388954,21.89340973,0.811937451,NaN,NaN,68745591,11695611,NaN,NaN,January
22-Jan-2020,7048,3465.884994,2.537402677,23.11199188,0.524536669,NaN,NaN,68049997,3852176,NaN,NaN,January
23-Jan-2020,9802,5981.242444,2.22934766,4.908008575,0.601650298,NaN,NaN,75219855,4862384,228849,NaN,January
24-Jan-2020,11748,6392.136343,0.98579602,1.652962685,0.596363902,NaN,NaN,70670032,7671527,NaN,NaN,January
25-Jan-2020,9426,4952.203769,1.249041554,3.547354937,0.505645394,NaN,NaN,73883235,3728985,502605,NaN,January
26-Jan-2020,7211,5205.455407,1.358461791,5.496021748,0.519568682,NaN,426149,72691687,4257384,NaN,NaN,January
27-Jan-2020,8430,4862.692803,1.724749016,6.79387188,0.50884217,NaN,514936,72177872,4441039,NaN,NaN,January
28-Jan-2020,2772,3914.038325,0.759309749,2.533854723,0.50961864,NaN,2930998,77907042,1530111,NaN,NaN,January
29-Jan-2020,4452,837.7967323,6.941788697,33.87428665,0.68537724,NaN,NaN,75311000,1693930,NaN,NaN,January
30-Jan-2020,5481,2630.169462,1.652417942,1.930627346,1.374290466,NaN,NaN,79396577,3253625,NaN,NaN,January
31-Jan-2020,8247,5918.8527,7.932042071,24.07777214,0.841259778,NaN,584654,75442066,5196296,76700,NaN,January
01-Feb-2020,9220,8696.737852,3.264779367,9.002228737,0.504746974,NaN,1899434,72206850,5969905,NaN,NaN,February
02-Feb-2020,6098,3046.108826,3.314145109,25.08575821,0.513263762,NaN,NaN,70702436,3521158,76810,NaN,February
03-Feb-2020,6315,3426.76781,NaN,NaN,NaN,NaN,NaN,75451721,3658094,NaN,NaN,February
04-Feb-2020,7250,3711.05709,1.086718657,3.055969,0.50537765,NaN,NaN,72482289,4654413,NaN,NaN,February
05-Feb-2020,4299,167.9018984,2.301798163,9.113350868,0.51388061,NaN,NaN,79765820,384712,NaN,NaN,February
06-Feb-2020,8433,5328.738158,2.710000691,5.701483727,0.517569125,NaN,NaN,73865918,5331595,164551,NaN,February
07-Feb-2020,8246,5965.066874,1.333121601,3.334358454,0.511023343,NaN,468631,72253085,5775447,NaN,NaN,February
08-Feb-2020,9056,9284.696126,1.942932612,7.915437698,0.585118055,NaN,2200172,70358220,6131162,NaN,NaN,February
09-Feb-2020,8217,11899.17401,2.587760777,25.59743309,0.529287994,NaN,2855335,71528354,4800125,NaN,NaN,February
10-Feb-2020,8739,7483.072491,5.278643221,11.73879242,0.542843759,NaN,563443,71404665,5470531,NaN,NaN,February
11-Feb-2020,2225,494.6464211,15.0022049,36.44992065,0.511161029,NaN,NaN,65186397,854805,NaN,NaN,February
12-Feb-2020,5074,2006.010409,12.73231374,32.62381744,0.529884398,NaN,NaN,64234544,2425986,NaN,NaN,February
13-Feb-2020,8665,4723.008991,0.918710825,1.352866411,0.52402395,NaN,NaN,75381364,4120167,433629,NaN,February
14-Feb-2020,5378,2414.479975,1.263674358,1.949492335,0.551342368,NaN,NaN,81745550,1913194,209345,NaN,February
15-Feb-2020,13473,8540.478622,2.13456175,3.383451223,0.638153136,NaN,NaN,70499231,7658331,NaN,NaN,February
16-Feb-2020,10054,6457.481409,1.278469575,2.403948307,0.502556264,NaN,478967,73003400,5796256,NaN,NaN,February
17-Feb-2020,9992,5924.711301,3.101629611,24.94791412,0.529917598,NaN,NaN,73384871,5740761,NaN,NaN,February
18-Feb-2020,6037,2456.910769,1.668437501,23.48045349,0.519217551,NaN,NaN,74071310,2852868,NaN,NaN,February
19-Feb-2020,13293,8185.962343,4.626472833,29.09291267,0.518160105,NaN,NaN,71004849,7162962,NaN,NaN,February
20-Feb-2020,12634,6677.229091,7.713656222,21.35650826,0.548315227,NaN,NaN,71970377,7217528,NaN,NaN,February
21-Feb-2020,10274,5946.276976,2.422015179,4.697253704,0.669282913,NaN,694688,74565752,5505180,NaN,NaN,February
22-Feb-2020,10182,5122.339241,2.060763776,5.700208187,0.50617969,NaN,NaN,69055712,5963317,NaN,NaN,February
23-Feb-2020,11703,7423.508714,1.58960726,10.7851696,0.50927937,NaN,694987,71297259,6553751,NaN,NaN,February
24-Feb-2020,8733,5466.144171,9.908584988,46.34803009,0.511957169,NaN,2222877,74369202,5920980,NaN,NaN,February
25-Feb-2020,7695,4755.178198,5.003340236,36.13450241,0.505919456,NaN,NaN,71608707,4668867,NaN,NaN,February
26-Feb-2020,3289,1192.221748,0.703781159,1.430642486,0.500363111,NaN,NaN,77417815,1901700,NaN,NaN,February
27-Feb-2020,2278,886.3711661,8.087164418,37.60359955,0.540350735,NaN,NaN,62597464,1175116,NaN,NaN,February
28-Feb-2020,7557,8106.934851,7.02292028,26.77996063,0.5523054,NaN,2541835,72329175,5340619,NaN,NaN,February
01-Mar-2020,8477,4526.892252,2.493019796,3.100119114,0.502605855,NaN,NaN,71438758,4938683,NaN,NaN,March
02-Mar-2020,8236,10097.80008,2.814311626,26.4886322,0.519414008,NaN,1825692,71975395,4115389,NaN,NaN,March
03-Mar-2020,8766,5562.184524,4.110862827,34.61328125,0.511969268,NaN,NaN,73141851,5330334,NaN,NaN,March
04-Mar-2020,7825,3542.809048,2.218701517,6.097197056,0.524416924,NaN,NaN,79788311,3429811,68651,NaN,March
05-Mar-2020,2259,206.4138842,2.011356266,3.028632641,0.786683798,NaN,NaN,81540303,522587,NaN,NaN,March
06-Mar-2020,10949,6231.118718,0.959491067,3.366018057,0.525325716,NaN,634719,74157787,5534110,NaN,NaN,March
07-Mar-2020,5898,3706.769798,1.460583233,1.90698278,0.695425034,NaN,NaN,81898313,3173336,NaN,NaN,March
08-Mar-2020,8111,5250.668158,0.697115243,2.459825754,0.53948456,NaN,NaN,76048736,5309260,NaN,NaN,March
09-Mar-2020,7932,5114.422717,0.871568462,5.809270859,0.566366911,NaN,453494,73800471,4928581,NaN,NaN,March
10-Mar-2020,6488,3756.544816,2.025492821,8.179870605,0.619871676,NaN,589966,75447026,4030970,NaN,NaN,March
11-Mar-2020,12042,6560.071805,0.727002729,1.725615025,0.556867898,NaN,NaN,66011335,7749597,NaN,NaN,March
12-Mar-2020,3456,1028.46535,2.968999873,5.426833153,0.962357819,NaN,NaN,74674419,1691149,120957,NaN,March
13-Mar-2020,6514,3551.977163,1.046418038,2.096910954,0.642179728,NaN,NaN,63668829,4189205,NaN,NaN,March
14-Mar-2020,1687,359.93532,1.041159383,1.100319743,0.785532236,NaN,NaN,72958204,995989,NaN,NaN,March
15-Mar-2020,6183,1987.173912,NaN,NaN,NaN,NaN,NaN,65868738,3694193,NaN,NaN,March
16-Mar-2020,11127,7212.711593,13.31349701,27.92273903,0.546833515,NaN,NaN,71062512,7332892,NaN,NaN,March
17-Mar-2020,8338,5171.805205,1.460044559,15.89469051,0.508130252,NaN,NaN,72586466,5494647,NaN,NaN,March
